,id,2015-12-17 10:00,2015-12-17 11:00,2015-12-17 12:00,2015-12-17 13:00,2015-12-17 14:00,2015-12-17 15:00
0,0,124.0,552.0,636.0,707.0,899.0,625.0
1,10,,9.0,3.0,4.0,3.0,7.0
2,11,,,,1.0,,
3,12,1.0,,,,,
4,16,,,,,1.0,
5,34,2.0,3.0,4.0,3.0,3.0,6.0
6,35,,,1.0,2.0,2.0,2.0
7,36,,,,,,1.0
8,37,,,1.0,,,
9,38,,1.0,,,,2.0
10,39,,,,,1.0,
11,41,,1.0,,,,
12,42,,,,2.0,,
13,44,,,1.0,,,
14,58,,1.0,4.0,3.0,5.0,2.0
15,59,1.0,9.0,6.0,11.0,7.0,6.0
16,60,,1.0,1.0,2.0,2.0,3.0
17,61,,5.0,4.0,1.0,6.0,2.0
18,62,,,,,,2.0
19,83,3.0,10.0,11.0,11.0,13.0,13.0
20,84,1.0,,4.0,1.0,3.0,1.0
21,85,1.0,3.0,,2.0,6.0,2.0
22,86,,4.0,2.0,2.0,2.0,3.0
23,87,,3.0,,1.0,,2.0
24,107,4.0,11.0,20.0,19.0,18.0,15.0
25,108,3.0,28.0,50.0,34.0,48.0,59.0
26,109,,3.0,3.0,2.0,10.0,6.0
27,110,,6.0,4.0,4.0,6.0,6.0
28,111,1.0,4.0,2.0,2.0,1.0,
29,112,1.0,1.0,,,2.0,
30,113,,1.0,,,,
31,114,,1.0,,,,
32,116,,,,1.0,,
33,132,14.0,55.0,84.0,55.0,76.0,70.0
34,133,3.0,16.0,26.0,22.0,18.0,32.0
35,134,2.0,11.0,12.0,9.0,15.0,9.0
36,135,1.0,3.0,4.0,2.0,8.0,7.0
37,136,,12.0,16.0,7.0,10.0,11.0
38,137,,3.0,,,3.0,4.0
39,139,,,,1.0,,
40,156,12.0,36.0,35.0,29.0,23.0,21.0
41,157,13.0,92.0,113.0,85.0,76.0,47.0
42,158,6.0,38.0,45.0,25.0,40.0,35.0
43,159,1.0,4.0,9.0,3.0,10.0,15.0
44,160,2.0,5.0,8.0,8.0,10.0,3.0
45,161,,8.0,14.0,10.0,14.0,11.0
46,162,1.0,,2.0,3.0,2.0,
47,163,,1.0,1.0,,1.0,
48,164,,,,,,2.0
49,180,,,,1.0,,2.0
50,181,24.0,154.0,181.0,143.0,175.0,137.0
51,182,15.0,120.0,134.0,143.0,136.0,137.0
52,183,3.0,15.0,10.0,10.0,12.0,8.0
53,184,4.0,16.0,26.0,26.0,25.0,30.0
54,185,2.0,9.0,14.0,9.0,10.0,13.0
55,186,2.0,7.0,7.0,9.0,14.0,12.0
56,187,,,2.0,1.0,4.0,3.0
57,205,13.0,95.0,105.0,102.0,90.0,84.0
58,206,35.0,185.0,223.0,213.0,204.0,161.0
59,207,14.0,104.0,104.0,92.0,126.0,109.0
60,208,6.0,15.0,20.0,9.0,17.0,17.0
61,209,29.0,141.0,153.0,102.0,158.0,130.0
62,210,2.0,13.0,22.0,22.0,32.0,22.0
63,211,,,1.0,,7.0,2.0
64,213,,,,,,1.0
65,229,1.0,5.0,3.0,4.0,3.0,1.0
66,230,60.0,236.0,262.0,269.0,299.0,182.0
67,231,21.0,128.0,168.0,167.0,200.0,114.0
68,232,4.0,13.0,18.0,13.0,25.0,12.0
69,233,57.0,246.0,241.0,215.0,265.0,156.0
70,234,73.0,344.0,313.0,295.0,313.0,282.0
71,235,13.0,67.0,59.0,60.0,83.0,59.0
72,237,,,,,1.0,
73,240,,,,1.0,,
74,254,32.0,109.0,105.0,89.0,101.0,58.0
75,255,62.0,265.0,261.0,266.0,270.0,174.0
76,256,21.0,99.0,92.0,75.0,84.0,45.0
77,257,8.0,53.0,40.0,38.0,42.0,31.0
78,258,81.0,403.0,405.0,506.0,506.0,252.0
79,259,51.0,291.0,302.0,276.0,314.0,198.0
80,260,31.0,138.0,134.0,136.0,108.0,112.0
81,263,2.0,2.0,1.0,1.0,1.0,
82,264,,3.0,,1.0,,
83,265,,,1.0,3.0,1.0,2.0
84,266,,,1.0,1.0,,
85,270,,1.0,2.0,,2.0,
86,278,,4.0,3.0,3.0,1.0,1.0
87,279,29.0,120.0,153.0,130.0,140.0,103.0
88,280,40.0,255.0,272.0,266.0,282.0,184.0
89,281,1.0,3.0,6.0,9.0,11.0,1.0
90,282,40.0,233.0,251.0,216.0,231.0,109.0
91,283,78.0,389.0,351.0,360.0,362.0,228.0
92,284,69.0,233.0,235.0,218.0,239.0,189.0
93,285,9.0,79.0,63.0,72.0,71.0,79.0
94,286,1.0,1.0,,,,
95,287,,1.0,1.0,2.0,,
96,288,2.0,10.0,4.0,1.0,3.0,1.0
97,289,,3.0,3.0,3.0,2.0,2.0
98,290,,,,2.0,3.0,1.0
99,291,,,1.0,4.0,,1.0
100,292,,,1.0,,,
101,293,1.0,34.0,33.0,31.0,33.0,23.0
102,294,,3.0,1.0,2.0,1.0,
103,295,41.0,334.0,183.0,184.0,307.0,250.0
104,296,66.0,285.0,106.0,209.0,231.0,159.0
105,297,,13.0,7.0,12.0,8.0,6.0
106,302,,,2.0,,1.0,
107,303,14.0,70.0,77.0,57.0,47.0,47.0
108,304,24.0,140.0,135.0,136.0,133.0,72.0
109,305,93.0,450.0,423.0,453.0,406.0,250.0
110,306,51.0,304.0,271.0,277.0,240.0,113.0
111,307,93.0,389.0,440.0,397.0,391.0,232.0
112,308,59.0,266.0,301.0,260.0,283.0,200.0
113,309,66.0,302.0,267.0,265.0,268.0,194.0
114,310,,,,1.0,,1.0
115,311,2.0,3.0,,4.0,8.0,3.0
116,312,,5.0,4.0,4.0,3.0,3.0
117,313,2.0,6.0,3.0,5.0,4.0,3.0
118,314,1.0,,,1.0,,
119,315,,1.0,,1.0,,
120,316,1.0,4.0,2.0,5.0,1.0,4.0
121,317,,2.0,1.0,2.0,3.0,2.0
122,318,1.0,1.0,1.0,,1.0,
123,319,,,,,1.0,
124,320,,,1.0,,,1.0
125,321,2.0,33.0,32.0,33.0,50.0,24.0
126,322,1.0,23.0,12.0,8.0,14.0,9.0
127,326,,,,,,1.0
128,327,12.0,63.0,46.0,45.0,34.0,17.0
129,328,17.0,145.0,126.0,124.0,148.0,97.0
130,329,62.0,291.0,299.0,262.0,285.0,183.0
131,330,96.0,480.0,512.0,459.0,465.0,271.0
132,331,113.0,578.0,558.0,515.0,458.0,273.0
133,332,98.0,432.0,470.0,385.0,376.0,235.0
134,333,40.0,196.0,192.0,159.0,136.0,102.0
